'Untold Eau de Parfum Elizabeth Arden', 'Untold Eau de Parfum Elizabeth Arden - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/untold-eau-de-parfum-elizabeth-arden-perfume-feminino/p'
'Wonderstruck Eau de Parfum Taylor Swift', 'Wonderstruck Eau de Parfum Taylor Swift - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/wonderstruck-eau-de-parfum-taylor-swift-perfume-feminino/p'
'Perfume Black Caviar Eau de Toilette Paris Elysees', 'Perfume Black Caviar Eau de Toilette Paris Elysees - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/black-caviar-eau-de-toilette-paris-elysees-perfume-masculino/p'
'Perfume Blue Seduction For Men Eau de Toilette Antonio Banderas Masculino', 'Perfume Blue Seduction For Men Eau de Toilette Antonio Banderas Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/blue-seduction-for-men-eau-de-toilette-antonio-banderas-perfume-masculino/p'
'Perfume Blue Jeans de Versace Masculino', 'Perfume Blue Jeans de Versace Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/blue-jeans-eau-de-toilette-versace-perfume-masculino/p'
'Perfume Billion Woman Eau de Toilette Paris Elysees Feminino', 'Perfume Billion Woman Eau de Toilette Paris Elysees Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/billion-woman-eau-de-toilette-paris-elysees-perfume-feminino/p'
'Perfume Lady Million Eau my Gold EDT Paco Rabanne Feminino', 'Perfume Lady Million Eau my Gold EDT Paco Rabanne Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/lady-million-eau-my-gold-eau-de-toilette-paco-rabanne-perfume-feminino/p'
'Perfume Vintage Eau de Toilette John Varvatos Masculino', 'Perfume Vintage Eau de Toilette John Varvatos Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/vintage-eau-de-toilette-john-varvatos-perfume-masculino/p'
'Perfume Sexy Woman Eau de Toilette Paris Elysees Feminino', 'Perfume Sexy Woman Eau de Toilette Paris Elysees Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/sexy-woman-eau-de-toilette-paris-elysees-perfume-feminino/p'
'Perfume Light Blue Dolce & Gabbana', 'Perfume Light Blue Dolce & Gabbana - Época Cosméticos', 'http://www.epocacosmeticos.com.br/light-blue-eau-de-toilette-dolce-gabbana-perfume-feminino/p'
'The Golden Secret Eau de Toilette Antonio Banderas', 'The Golden Secret Eau de Toilette Antonio Banderas - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-golden-secret-eau-de-toilette-antonio-banderas-perfume-masculino/p'
'Perfume Miss Vodka Eau de Toilette Paris Elysees Feminino', 'Perfume Miss Vodka Eau de Toilette Paris Elysees Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/miss-vodka-eau-de-toilette-paris-elysees-perfume-feminino/p'
'Perfume Amor Amor Eau de Toilette Cacharel Feminino', 'Perfume Amor Amor Eau de Toilette Cacharel Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/amor-amor-eau-de-toilette-cacharel-perfume-feminino/p'
'Billion Woman Love Eau de Toilette Paris Elysees', 'Billion Woman Love Eau de Toilette Paris Elysees - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/billion-woman-love-eau-de-toilette-paris-elysees-perfume-feminino/p'
'La Petite Fleur blanche Eau de Toilette Paris Elysees', 'La Petite Fleur blanche Eau de Toilette Paris Elysees - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/la-petite-fleur-blanche-eau-de-toilette-paris-elysees-perfume-feminino/p'
'Perfume One Million Eau de Toilette Paco Rabanne', 'Perfume One Million Eau de Toilette Paco Rabanne - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/1-million-eau-de-toilette-paco-rabanne-perfume-masculino/p'
'Killer Queen Katy Perry Eau de Cologne Katy Perry', 'Killer Queen Katy Perry Eau de Cologne Katy Perry - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/killer-queen-katy-perry-eau-de-cologne-katy-perry-perfume-feminino/p'
'Vodka Limited Edition Eau de Toilette Paris Elysees', 'Vodka Limited Edition Eau de Toilette Paris Elysees - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/vodka-limited-edition-eau-de-toilette-paris-elysees-perfume-masculino/p'
'The Colossal Volum' Express Waterproof Maybelline', 'The Colossal Volum' Express Waterproof Maybelline - Máscara para Cílios - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-colossal-volum-express-waterproof-maybelline-mascara-para-cilios/p'
'The Colossal Kajal Maybelline', 'The Colossal Kajal Maybelline - Kajal - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-colossal-kajal-maybelline-kajal-/p'
'Fit Me! Maybelline', 'Fit Me! Maybelline - Corretivo Líquido - Época Cosméticos', 'http://www.epocacosmeticos.com.br/fit-me-maybelline-corretivo-liquido/p'
'Super Stay 24H Maybelline', 'Super Stay 24H Maybelline - Base Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/super-stay-24h-maybelline-base-facial/p'
'Base Facial BB Cream Dream BB Oil Control', 'Base Facial BB Cream Dream BB Oil Control - Base Facil - Época Cosméticos', 'http://www.epocacosmeticos.com.br/bb-cream-dream-bb-oil-control-maybelline-base-facial-30ml/p'
'One by One Volum' Express Waterproof Maybelline', 'One by One Volum' Express Waterproof Maybelline - Máscara para Cílios - Época Cosméticos', 'http://www.epocacosmeticos.com.br/one-by-one-volum--express-waterproof-maybelline-mascara-para-cilios/p'
'Fit Me! Maybelline', 'Fit Me! Maybelline - Base Líquida - Época Cosméticos', 'http://www.epocacosmeticos.com.br/fit-me-maybelline-base-liquida/p'
'Volum' Express Maybelline', 'Volum' Express Maybelline - Máscara - Época Cosméticos', 'http://www.epocacosmeticos.com.br/volum-express-maybelline-mascara-para-cilios/p'
